usename,auid,desig,vrah,vram,vras,vded,vdem,vdes,vspec,vvmag,vbmv,cname,crah,cram,cras,cded,cdem,cdes,cvmag,cbmv,kname,krah,kram,kras,kded,kdem,kdes,kvmag,deltabmv
V535 CAR,000-BCZ-956,1113-67,11,17,19.0436,-67,49,24.655,M2III,6.055,1.76,HR 4448,11,32,19.9963,-66,57,42.565,5.89,1.135,HR 4384,11,19,16.4341,-64,34,56.967,5.985,0.625
OMI 2 CEN,000-BBS-223,,11,31,48.8,-59,30,56,A2eaIa,5.151,0.477,HD 99453,11,25,43.1,-63,58,21,5.171,0.498,HD 96566,11,6,32.4,-62,25,27,4.609,-0.021
OME VIR,000-BFP-668,1133+08,11,38,27.6077,8,8,3.475,M4III,5.358,1.577,HR 4559,11,55,3.1335,8,26,38.195,5.575,0.94,HR 4515,11,45,17.0399,8,15,29.23,4.839,0.637
VX CRT,000-BCZ-980,1134-16,11,39,50.3343,-16,37,12.826,M3II/III,6.18,1.625,HR 4451,11,33,14.8231,-16,16,49.371,6.047,0.592,HR 4539,11,50,19.6038,-15,51,49.2,6.13,1.033
TV UMA,000-BBS-388,1140+36,11,45,35.0397,35,53,39.65,M5III,7.012,1.543,SAO 62680,11,44,20.2203,38,31,39.497,7.859,1.476,SAO 62729,11,51,7.1236,36,50,6.7,7.55,0.067
NU VIR,000-BDB-328,1140+07,11,45,51.559,6,31,45.755,M1III,4.033,1.513,HR 4559,11,55,3.1335,8,26,38.195,5.575,0.94,HR 4515,11,45,17.0399,8,15,29.23,4.839,0.573
NSV 5392,000-BBS-540,,11,56,1.0,-17,9,3,A1III,5.17,-0.022,HD 107348,12,20,33.6,-22,12,57,5.214,-0.102,HD 105707,12,10,7.5,-22,37,11,3.0,0.08
GK COM,000-BBS-578,1154+19,12,0,4.698,19,25,9.744,M3,6.984,1.547,SAO 99904,12,0,38.0172,18,20,4.941,7.877,1.03,SAO 99816,11,49,38.7067,18,56,7.152,7.84,0.517
FW VIR,000-BCX-526,1233+02,12,38,22.4057,1,51,16.784,M3IIIb,5.667,1.592,HR 4878,12,51,36.8893,3,3,24.436,6.015,1.29,HR 4805,12,38,4.4163,3,16,56.799,6.331,0.302
NSV 5947,000-BBT-262,1242+04B,12,47,51.4121,3,34,21.778,M4III,6.403,1.599,HR 4878,12,51,36.8893,3,3,24.436,6.015,1.29,HR 4805,12,38,4.4163,3,16,56.799,6.331,0.309
PSI VIR,000-BCX-539,1249-09,12,54,21.1633,-9,32,20.38,M3III,4.789,1.595,HR 4957,13,8,32.4666,-8,59,3.786,5.545,1.18,HR 4959,13,9,14.2388,-9,32,17.153,6.315,0.415
TU CVN,000-BBT-346,1250+47,12,54,56.5213,47,11,48.199,M5III,5.839,1.58,HR 4919,12,57,7.7952,46,10,36.441,6.116,1.012,HR 4945,13,5,52.2673,45,16,6.779,5.63,0.568
NSV 6046,000-BDB-149,1254+17,12,58,55.4423,17,24,34.004,M1IIIb,4.767,1.568,HR 4929,13,1,9.6147,17,7,23.328,5.945,0.966,HR 4962,13,9,47.8475,16,50,55.001,5.894,0.602
